user_id,application_id,status_id,payment_plan,response,hours_online,program_name,application_type_name,professional_assoc,referrer,practice_type,home_state,work_state,gender,home_country,work_country,job_title,Orientation,Unit 1,Unit 2,Unit 3,Unit 4
1491,6530,G,2 Payments,110,195183,IHeLp 2014 Summer,Regular,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,,991.3453255555555,994.3326925000001,1161.7357733333333,889.1239288888887
2314,6520,G,2 Payments,168,368728,IHeLp 2014 Summer,Regular,Other,Brochure/Mailing,Fam_Prac,dummy,WI,F,dummy,US,Director Integrative Medicine,,915.0496847222224,958.1354516666668,985.1261575,956.250588888889
4349,13825,G,2 Payments,119,96821,IHeLp 2017 Summer,Regular,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,239.7837044444444,885.0240755555554,794.0818072222223,765.7584511111113,678.88792
5965,6611,G,2 Payments,105,270087,IHeLp 2014 Summer,Regular,Registered Nurse,Other,Surgery,dummy,dummy,F,dummy,dummy,dummy,,981.9848122222224,942.3957063888887,893.7496783333332,672.5456313888889
6843,13717,G,6 Monthly Payments,164,265024,IHeLp 2017 Spring,Scholarship,Other,CIM faculty,Pediatrics,CO,CO,F,USA,USA,Physician Assistant Pediatrics,674.9571352777778,840.2414719444445,930.4041894444445,929.2802127777776,900.1616250000003
7168,6111,G,6 monthly payments,139,276480,IHeLp 2014 Summer,Regular,TCM/OM practitioner,AF member,Other,dummy,dummy,F,dummy,dummy,dummy,,920.192505,946.0138088888887,847.0950344444444,661.1627169444445
7199,6380,G,1 Payment,123,461838,IHeLp 2014 Summer,Regular,Registered Dietitian,CIM faculty,Other,dummy,dummy,F,dummy,dummy,dummy,,795.2672722222223,937.773185277778,1012.1172966666667,721.9590386111107
8451,6120,G,2 Payments,100,565005,IHeLp 2014 Summer,Regular,Registered Nurse,DrWeil,Other,dummy,dummy,F,Canada,dummy,Registered Nurse,,888.3969208333333,871.152761388889,962.8013333333333,679.5151194444445
8956,16990,W,2 Payments,53,22498,IHeLp 2018 Spring,Scholarship,Advanced Practice Nurse,DrWeil,Sub,CT,CT,F,US,United States of America (the),Jungian Analyst and Clinical Specialist,16.629543055555555,777.4634924999997,,,
9005,6672,G,6 monthly payments,106,299742,IHeLp 2014 Summer,Regular,Other,Prevention,Other,dummy,dummy,M,Canada,Canada,Registered Pharmacist,,871.1212902777777,1007.6306191666664,547.5422994444443,717.0836955555556
9497,6534,G,1 Payment,108,200235,IHeLp 2014 Summer,Regular,Registered Nurse,AF member,Specialty Not Listed,OH,dummy,M,USA,dummy,Registered Nurse,,964.6784458333333,850.6396883333333,706.8934672222223,675.3225897222222
9925,8366,G,1 Payment,129,336908,IHeLp 2015 Summer,Scholarship,Registered Dietitian,Other,Other,CA,dummy,F,dummy,dummy,Clinical Dietitian,266.4812,967.0262133333333,959.6830302777776,991.6020744444444,1004.15254
10429,6176,G,1 Payment,110,372740,IHeLp 2014 Summer,Regular,Registered Dietitian,Brochure/Mailing,Other,FL,FL,F,USA,USA,Oncology Dietitian,,785.4134230555555,910.7468191666667,715.2135777777777,761.5045066666668
11066,6130,G,1 Payment,128,194687,IHeLp 2014 Summer,Regular,Registered Dietitian,Other,Other,CA,CA,F,US,US,dummy,,952.1901658333336,943.0903222222224,1012.0107138888887,732.0700127777777
12212,8573,D,1 Payment,434,427139,IHeLp 2015 Summer,Scholarship,Registered Nurse,Other,Other,CA,CA,F,US,US,dummy,18.455494166666664,918.005063611111,853.5594672222223,870.7441822222223,973.1044630555556
12212,10014,G,1 Payment,434,427139,IHeLp 2016 Summer,Scholarship,Registered Nurse,Other,Other,CA,CA,F,US,US,dummy,18.455494166666664,918.005063611111,853.5594672222223,870.7441822222223,973.1044630555556
12514,15186,G,6 Monthly Payments,169,99797,IHeLp 2017 Summer,Regular,Registered Dietitian,DrWeil,Other,WA,WA,F,US,USA,dummy,,935.7267955555556,953.6881083333333,824.1612402777777,670.6625727777778
12598,6573,G,1 Payment,152,472230,IHeLp 2014 Summer,Regular,Registered Nurse,Other,Other,AZ,AZ,F,dummy,US,Instructor Tai Chi-GroupFitness-IHeLp,,949.3205152777778,961.4199152777776,966.7534880555555,954.9688252777776
13253,8615,D,1 Payment,71,52420,IHeLp 2015 Summer,Regular,Therapist,Other,Other,dummy,WV,F,UAE,United Arab Emirates,dummy,,613.7260294444444,1511.4140905555555,,
