user_id,application_id,status_id,payment_plan,response,hours_online,program_name,application_type_name,professional_assoc,referrer,practice_type,home_state,work_state,gender,home_country,work_country,job_title,curriculum_id
1491,6530,G,2 Payments,24,34147,IHeLp 2014 Summer,Regular,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 4
1491,6530,G,2 Payments,22,40615,IHeLp 2014 Summer,Regular,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 3
1491,6530,G,2 Payments,23,65061,IHeLp 2014 Summer,Regular,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 2
1491,6530,G,2 Payments,41,55360,IHeLp 2014 Summer,Regular,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 1
2314,6520,G,2 Payments,39,122909,IHeLp 2014 Summer,Regular,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 2
2314,6520,G,2 Payments,42,76727,IHeLp 2014 Summer,Regular,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 3
2314,6520,G,2 Payments,53,104583,IHeLp 2014 Summer,Regular,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 1
2314,6520,G,2 Payments,34,64509,IHeLp 2014 Summer,Regular,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 4
4349,13825,G,2 Payments,1,3194,IHeLp 2017 Summer,Regular,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Orientation
4349,13825,G,2 Payments,46,24784,IHeLp 2017 Summer,Regular,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Unit 1
4349,13825,G,2 Payments,20,16522,IHeLp 2017 Summer,Regular,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Unit 4
4349,13825,G,2 Payments,32,24784,IHeLp 2017 Summer,Regular,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Unit 2
